,Gamma,Error,Time,Iterations
711,0.28900000000000003,16,0.0,2
712,0.28800000000000003,16,0.0,2
713,0.28700000000000003,16,0.0,2
714,0.28600000000000003,16,0.000997304916381836,2
715,0.28500000000000003,16,0.0,2
716,0.28400000000000003,16,0.0,2
717,0.28300000000000003,16,0.0009975433349609375,2
718,0.28200000000000003,16,0.0,2
719,0.281,16,0.0,2
720,0.28,16,0.000997304916381836,2
721,0.279,16,0.0,2
722,0.278,16,0.0,2
723,0.277,16,0.0,2
724,0.276,16,0.0,2
725,0.275,16,0.000997304916381836,2
726,0.274,16,0.0,2
727,0.273,16,0.0,2
728,0.272,16,0.0,2
729,0.271,16,0.0,2
730,0.27,16,0.0,2
731,0.269,16,0.0,2
732,0.268,16,0.0,2
733,0.267,16,0.000997304916381836,2
734,0.266,16,0.0,2
735,0.265,16,0.0,2
736,0.264,16,0.0009975433349609375,2
737,0.263,16,0.0,2
738,0.262,16,0.0,2
739,0.261,16,0.000997304916381836,2
740,0.26,16,0.0,2
741,0.259,16,0.0,2
742,0.258,16,0.0,2
743,0.257,16,0.0,2
744,0.256,16,0.0009970664978027344,2
745,0.255,16,0.0,2
746,0.254,16,0.0,2
747,0.253,16,0.001219034194946289,2
748,0.252,16,0.0,2
749,0.251,16,0.0,2
750,0.25,16,0.0,2
751,0.249,16,0.0,2
752,0.248,16,0.0,2
753,0.247,16,0.0,2
754,0.246,16,0.0,2
755,0.245,16,0.0,2
756,0.244,16,0.0,2
757,0.243,16,0.0,2
758,0.242,16,0.0,2
759,0.241,16,0.0,2
760,0.24,16,0.0,2
761,0.239,16,0.0,2
762,0.238,16,0.0,2
763,0.237,16,0.0,2
764,0.236,16,0.0,2
765,0.235,16,0.0,2
766,0.23399999999999999,16,0.0,2
767,0.23299999999999998,16,0.0,2
768,0.23199999999999998,17,0.0,1
